circuit_name,circuit_url,locality,country,latitude,longitude
Caesars Palace Grand Prix Circuit,https://en.wikipedia.org/wiki/Caesars_Palace_Grand_Prix,Paradise,United States,,
Charade Circuit,https://en.wikipedia.org/wiki/Circuit_de_Charade,Saint-Genès-Champanelle,France,45.74722,3.03889
Circuit Bremgarten,https://en.wikipedia.org/wiki/Circuit_Bremgarten,Bern,Switzerland,46.95,7.41083
Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monte Carlo,Monaco,43.73472,7.42056
Circuit de Nevers Magny-Cours,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,Magny-Cours,France,46.86333,3.16333
Circuit de Pedralbes,https://en.wikipedia.org/wiki/Pedralbes_Circuit,Barcelona,Spain,41.39028,2.11667
Circuit de Reims-Gueux,https://en.wikipedia.org/wiki/Reims-Gueux,Gueux,France,49.254075,3.9305611
Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Stavelot,Belgium,50.43722,5.97139
Circuit Dijon-Prenois,https://en.wikipedia.org/wiki/Dijon-Prenois,Prenois,France,47.3625,4.89917
Circuit Gilles-Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Montreal,Canada,45.50056,-73.5225
Circuit Mont-Tremblant,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,Mont-Tremblant,Canada,46.1877056,-74.6099361
Circuit of the Americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Austin,United States,30.13278,-97.64111
Circuit Paul Ricard,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,Le Castellet,France,43.25056,5.79167
Circuit Zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,Zandvoort,Netherlands,52.38889,4.54083
Circuit Zolder,https://en.wikipedia.org/wiki/Circuit_Zolder,Heusden-Zolder,Belgium,50.98889,5.25556
Circuito da Boavista,https://en.wikipedia.org/wiki/Circuito_da_Boavista,Porto,Portugal,41.170472,-8.67325
Circuito de Monsanto,https://en.wikipedia.org/wiki/Circuito_de_Monsanto,Lisbon,Portugal,38.71972,-9.20306
Circuito Permanente de Jerez,https://en.wikipedia.org/wiki/Circuito_de_Jerez,Jerez de la Frontera,Spain,36.70833,-6.03417
Circuito Permanente del Jarama,https://en.wikipedia.org/wiki/Circuito_del_Jarama,San Sebastián de los Reyes,Spain,40.61722,-3.58556
Dallas Fair Park,https://en.wikipedia.org/wiki/Fair_Park#Other_notable_events,Dallas,United States,32.78194,-96.76556
Detroit Street Circuit,https://en.wikipedia.org/wiki/Detroit_Street_Circuit,Detroit,United States,42.32975,-83.040111
Donington Park,https://en.wikipedia.org/wiki/Donington_Park,Castle Donington,United Kingdom,52.82917,-1.375
Fuji Speedway,https://en.wikipedia.org/wiki/Fuji_Speedway,Oyama,Japan,35.37167,138.92667
Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Hockenheim,Germany,49.32778,8.56583
Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Mogyoród,Hungary,47.58222,19.25111
Indianapolis Motor Speedway,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Speedway,United States,39.79833,-86.23278
Intercity Istanbul Park,https://en.wikipedia.org/wiki/Istanbul_Park,Istanbul,Turkey,40.95167,29.405
Jeddah Corniche Circuit,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit,Jeddah,Saudi Arabia,21.63194,39.10444
Korea International Circuit,https://en.wikipedia.org/wiki/Korea_International_Circuit,Yeongam,South Korea,34.733,126.417
Kyalami Grand Prix Circuit,https://en.wikipedia.org/wiki/Kyalami_Racing_Circuit,Midrand,South Africa,-25.99806,28.06889
Las Vegas Strip Circuit,https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit,Paradise,United States,36.10995,-115.16217
Long Beach Street Circuit,https://en.wikipedia.org/wiki/Long_Beach_Street_Circuit,Long Beach,United States,33.76639,-118.19278
Lusail International Circuit,https://en.wikipedia.org/wiki/Lusail_International_Circuit,Lusail,Qatar,25.49,51.45417
Madring,https://en.wikipedia.org/wiki/Madring,Barajas,Spain,40.46528,-3.61528
Marina Bay Street Circuit,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay,Singapore,1.2915306,103.86385
Miami International Autodrome,https://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami Gardens,United States,25.95806,-80.23889
Montjuïc circuit,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,Barcelona,Spain,41.36639,2.15167
Mosport International Raceway,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park,Bowmanville,Canada,44.05,-78.67778
Nivelles-Baulers,https://en.wikipedia.org/wiki/Nivelles-Baulers,Nivelles,Belgium,50.62111,4.32694
Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburg,Germany,50.33556,6.9475
Pescara Circuit,https://en.wikipedia.org/wiki/Pescara_Circuit,Pescara,Italy,42.475,14.15083
Phoenix Street Circuit,https://en.wikipedia.org/wiki/Phoenix_Street_Circuit,Phoenix,United States,33.447917,-112.074583
Prince George Circuit,https://en.wikipedia.org/wiki/Prince_George_Circuit,East London,South Africa,-33.04861,27.87361
Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Spielberg,Austria,47.21972,14.76472
Riverside International Raceway,https://en.wikipedia.org/wiki/Riverside_International_Raceway,Moreno Valley,United States,33.933389,-117.272278
Rouen-Les-Essarts,https://en.wikipedia.org/wiki/Rouen-Les-Essarts,Orival,France,49.330639,1.004583
Scandinavian Raceway,https://en.wikipedia.org/wiki/Anderstorp_Raceway,Anderstorp,Sweden,57.26417,13.60139
Sebring Raceway,https://en.wikipedia.org/wiki/Sebring_International_Raceway,Sebring,United States,27.455,-81.35
Sepang International Circuit,https://en.wikipedia.org/wiki/Sepang_International_Circuit,Sepang,Malaysia,2.76056,101.7375
Shanghai International Circuit,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai,China,31.33889,121.21972
Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone,United Kingdom,52.071,-1.016
Sochi Autodrom,https://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi,Russia,43.41028,39.9682722
Suzuka International Racing Course,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka,Japan,34.8417,136.5389
TI Circuit Aida,https://en.wikipedia.org/wiki/Okayama_International_Circuit,Mimasaka,Japan,34.915,134.22111
Valencia Street Circuit,https://en.wikipedia.org/wiki/Valencia_Street_Circuit,Valencia,Spain,39.458778,-0.32556
Watkins Glen International,https://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen,United States,42.337,-76.927
Yas Marina Circuit,https://en.wikipedia.org/wiki/Yas_Marina_Circuit,Abu Dhabi,United Arab Emirates,24.46722,54.60306
Zeltweg Airfield,https://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg,Austria,47.20222,14.74222
